id,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,level
13739,1.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,,0.0,1.0,0.0,0.0,0.0,,3.0,1.0,2.0,5.0,3.0,4.0,Senior,College Student,W,XX,Bad,No,R,,fpwskwrf,City_2,0.0,0.0,,,1
51477,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,4.0,4.0,2.0,4.0,4.0,2.0,Senior,College Grad,W,XX,Good,Yes,O,,bhuqouqj,City_3,1.0,0.0,,,3
14239,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,0.0,0.0,0.0,,3.0,1.0,2.0,5.0,2.0,1.0,Adult,College Grad,W,XX,Bad,Yes,,U,mlyzmhmf,City_1,1.0,2.0,,,1
10748,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,4.0,2.0,4.0,2.0,4.0,Adult,College Student,H,XY,Good,Yes,R,E,bhuqouqj,City_2,2.0,0.0,xicduogh,qxajmpny,1
14360,2.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,5.0,1.0,1.0,5.0,4.0,1.0,Adult,College Grad,W,XX,Good,Yes,O,E,lzgpxyit,City_1,1.0,0.0,mfikgejo,xtkaffoo,3
44447,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,,2.0,1.0,4.0,4.0,1.0,1.0,Senior,College Student,W,XX,Good,No,O,E,qufhixun,City_1,1.0,0.0,fcxhlnwr,haliazsg,0
9715,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,2.0,2.0,4.0,2.0,1.0,Adult,High Schooler,W,XX,Good,No,O,E,mlyzmhmf,City_1,1.0,0.0,mcubkhph,mxkfnird,0
14773,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,1.0,2.0,2.0,2.0,2.0,Adult,College Grad,W,XY,Good,,R,E,lrircsnp,City_2,2.0,0.0,rucpziij,tfqavkke,0
25944,2.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,4.0,2.0,4.0,4.0,2.0,2.0,Senior,College Student,W,XX,Good,No,O,,lzgpxyit,City_2,0.0,0.0,,,1
15808,2.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,4.0,2.0,2.0,4.0,2.0,4.0,Adult,,W,XY,,,,,mlyzmhmf,City_1,1.0,2.0,,,0
12374,2.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,5.0,4.0,1.0,5.0,5.0,1.0,Senior,College Grad,W,XX,Average,Yes,O,E,qufhixun,City_1,1.0,0.0,vjjrobsf,xtkaffoo,3
46857,2.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,2.0,4.0,2.0,2.0,Adult,College Grad,W,XX,Average,Yes,O,E,kbazzjca,City_1,1.0,1.0,fcxhlnwr,bxpfxfdn,1
23279,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,5.0,2.0,1.0,5.0,4.0,1.0,Senior,High Schooler,W,XY,Good,No,R,,lrircsnp,City_1,0.0,0.0,,,0
47778,1.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,,,0.0,0.0,1.0,1.0,2.0,1.0,1.0,4.0,1.0,2.0,Senior,College Student,W,XX,Good,No,O,E,dqpwygqj,City_1,0.0,0.0,fcxhlnwr,cmhcxjea,0
4610,2.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,4.0,4.0,1.0,4.0,4.0,1.0,Senior,College Student,W,XY,Good,No,O,,bhuqouqj,City_3,1.0,0.0,,,3
9711,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,4.0,1.0,1.0,5.0,2.0,2.0,Senior,College Student,W,XX,Good,No,O,,fpwskwrf,City_1,1.0,0.0,,,1
307,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,2.0,1.0,4.0,4.0,1.0,Young Adult,College Student,W,XY,Good,Yes,R,E,oxchjgsf,City_3,1.0,1.0,haxffmxo,dcjcmpih,3
34240,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,4.0,1.0,4.0,2.0,1.0,1.0,Young Adult,College Student,W,XY,Good,No,O,E,lrircsnp,City_1,1.0,0.0,nduyfdeo,pvmttkik,0
43729,3.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,,5.0,5.0,5.0,5.0,5.0,5.0,Adult,College Grad,W,XX,Good,Yes,R,E,qufhixun,City_1,1.0,1.0,wxleyezf,bxpfxfdn,3
